episode,mean_reward
554,-131.49
555,-131.54
556,-131.39
557,-131.39
558,-131.54
559,-127.38
560,-126.9
561,-126.84
562,-127.01
563,-126.56
564,-126.72
565,-126.81
566,-126.97
567,-126.43
568,-126.94
569,-126.72
570,-126.23
571,-126.03
572,-122.01
573,-121.51
574,-120.99
575,-121.51
576,-121.48
577,-121.08
578,-121.01
579,-121.14
580,-120.6
581,-119.72
582,-119.66
583,-119.67
584,-120.14
585,-119.47
586,-119.54
587,-119.76
588,-119.77
589,-119.53
590,-119.52
591,-119.48
592,-118.7
593,-118.98
594,-119.89
595,-121.71
596,-122.23
597,-121.64
598,-122.25
599,-122.21
600,-122.52
601,-123.03
602,-123.35
603,-122.92
604,-122.96
605,-123.44
606,-123.57
607,-123.92
608,-123.76
609,-123.64
610,-124.55
611,-124.22
612,-124.85
613,-125.1
614,-124.92
615,-125.41
616,-125.81
617,-126.0
618,-126.29
619,-126.06
620,-125.99
621,-126.55
622,-126.23
623,-126.32
624,-125.15
625,-125.02
626,-125.11
627,-125.85
628,-126.23
629,-126.34
630,-126.99
631,-126.89
632,-127.3
633,-127.35
634,-127.6
635,-126.82
636,-128.09
637,-128.28
638,-131.08
639,-131.7
640,-132.67
641,-132.64
642,-132.96
643,-134.69
644,-135.05
645,-134.93
646,-135.4
647,-135.57
648,-136.63
649,-136.95
650,-137.16
651,-137.78
652,-138.09
653,-138.94
654,-139.61
655,-140.47
656,-141.15
657,-142.02
658,-142.16
659,-143.82
660,-144.7
661,-145.85
662,-146.56
663,-146.91
664,-146.83
665,-146.78
666,-147.16
667,-147.57
668,-147.76
669,-148.48
670,-148.95
671,-148.43
672,-150.17
673,-150.47
674,-150.46
675,-150.93
676,-150.92
677,-152.63
678,-153.46
679,-154.16
680,-154.94
681,-154.98
682,-154.93
683,-155.3
684,-155.29
685,-155.43
686,-155.62
687,-155.71
688,-156.54
689,-160.35
690,-160.72
691,-162.24
692,-162.8
693,-166.3
694,-165.67
695,-164.48
696,-164.03
697,-165.06
698,-165.21
699,-165.31
700,-167.74
701,-167.23
702,-167.78
703,-168.39
704,-169.22
705,-170.45
706,-171.18
707,-172.14
708,-173.41
709,-173.49
710,-173.14
711,-173.5
712,-173.75
713,-174.4
714,-177.43
715,-177.79
716,-181.26
717,-184.11
718,-184.54
719,-184.73
720,-184.77
721,-185.08
722,-186.02
723,-187.01
724,-190.69
725,-194.63
726,-195.3
727,-195.95
728,-196.44
729,-196.52
730,-198.39
731,-198.68
732,-199.51
733,-201.57
734,-202.36
735,-203.85
736,-204.03
737,-207.71
738,-205.87
739,-205.7
740,-205.56
741,-206.31
742,-206.77
743,-206.13
744,-206.34
745,-207.12
746,-208.39
747,-208.95
748,-209.16
749,-210.6
750,-212.45
751,-215.3
752,-218.66
753,-218.69
754,-219.26
755,-219.59
756,-220.18
757,-222.93
758,-224.22
759,-224.31
760,-224.61
761,-227.37
762,-227.67
763,-228.25
764,-229.66
765,-231.82
766,-231.74
767,-234.13
768,-234.75
769,-234.28
770,-234.63
771,-234.76
772,-234.09
773,-235.04
774,-235.44
775,-236.68
776,-239.28
777,-237.75
778,-237.64
779,-238.44
780,-238.43
781,-239.56
782,-243.03
783,-243.42
784,-246.59
785,-247.93
786,-249.27
787,-250.65
788,-251.75
789,-248.96
790,-248.88
791,-248.69
792,-249.1
793,-246.95
794,-248.13
795,-248.15
796,-248.7
797,-248.97
798,-249.96
799,-250.11
800,-248.07
801,-248.43
802,-247.71
803,-251.01
804,-251.01
805,-250.4
806,-250.02
807,-252.64
808,-251.69
809,-252.93
810,-255.57
811,-256.72
812,-259.99
813,-259.79
814,-257.77
815,-257.51
816,-254.46
817,-253.3
818,-254.63
819,-256.01
820,-255.71
821,-255.12
822,-254.31
823,-253.41
824,-250.44
825,-246.89
826,-246.42
827,-246.48
828,-246.03
829,-245.95
830,-243.76
831,-243.57
832,-242.84
833,-241.62
834,-241.98
835,-242.1
836,-241.48
837,-237.85
838,-237.94
839,-239.89
840,-239.78
841,-239.13
842,-238.75
843,-237.84
844,-237.85
845,-237.66
846,-235.82
847,-235.54
848,-234.55
849,-233.57
850,-233.02
851,-230.29
852,-227.03
853,-226.31
854,-225.62
855,-225.18
856,-224.48
857,-221.55
858,-221.25
859,-219.95
860,-219.18
861,-219.18
862,-218.85
863,-221.24
864,-220.34
865,-218.32
866,-218.22
867,-215.55
868,-214.62
869,-215.07
870,-213.99
871,-214.37
872,-213.37
873,-212.72
874,-213.11
875,-211.37
876,-209.03
877,-209.27
878,-208.71
879,-207.45
880,-207.57
881,-206.52
882,-203.35
883,-202.85
884,-200.46
885,-199.55
886,-198.07
887,-196.78
888,-195.7
889,-194.91
890,-195.73
891,-194.7
892,-194.16
893,-192.55
894,-191.88
895,-191.97
896,-191.52
897,-190.77
898,-190.58
899,-190.06
900,-190.05
901,-189.85
902,-189.45
903,-186.39
904,-185.53
905,-185.19
906,-185.09
907,-181.16
908,-181.01
909,-180.06
910,-177.5
911,-176.94
912,-174.16
913,-174.48
914,-173.67
915,-173.3
916,-172.97
917,-171.84
918,-170.79
919,-170.26
920,-170.81
921,-170.71
922,-171.56
923,-171.93
924,-174.9
925,-174.76
926,-175.39
927,-174.01
928,-174.06
929,-173.81
930,-174.12
931,-174.58
932,-174.6
933,-174.39
934,-174.48
935,-173.23
936,-172.87
937,-172.85
938,-172.4
939,-169.94
940,-169.73
941,-169.56
942,-169.81
943,-170.12
944,-170.25
945,-170.7
946,-171.28
947,-171.2
948,-171.65
949,-171.57
950,-171.35
951,-170.66
952,-171.53
953,-172.02
954,-171.95
955,-172.07
956,-172.01
957,-172.21
958,-171.06
959,-171.29
960,-171.46
961,-168.03
962,-167.62
963,-167.16
964,-168.32
965,-168.85
966,-169.17
967,-172.86
968,-172.91
969,-172.97
970,-173.08
971,-173.91
972,-174.17
973,-174.3
974,-173.59
975,-173.69
976,-173.62
977,-174.13
978,-174.59
979,-174.35
980,-175.05
981,-175.63
982,-176.35
983,-176.89
984,-175.67
985,-175.51
986,-175.44
987,-175.63
988,-175.2
989,-175.61
990,-174.8
991,-175.51
992,-175.29
993,-175.7
994,-175.03
995,-174.68
996,-174.64
997,-174.19
998,-173.18
999,-173.02
1000,-172.87
1001,-172.25
1002,-172.46
1003,-171.86
1004,-172.15
1005,-171.67
1006,-171.76
1007,-172.25
1008,-172.49
1009,-173.36
1010,-174.03
1011,-173.5
1012,-172.77
1013,-172.42
1014,-172.84
1015,-172.73
1016,-172.39
1017,-172.11
1018,-172.09
1019,-171.13
1020,-170.56
1021,-170.92
1022,-170.67
1023,-169.96
1024,-166.47
1025,-166.38
1026,-166.23
1027,-166.97
1028,-169.14
1029,-170.19
1030,-169.96
1031,-169.85
1032,-170.05
1033,-170.27
1034,-169.41
1035,-169.72
1036,-169.88
1037,-170.06
1038,-169.6
1039,-169.82
1040,-169.72
1041,-169.53
1042,-169.37
1043,-169.97
1044,-169.7
1045,-168.98
1046,-169.08
1047,-168.7
1048,-168.59
1049,-168.42
1050,-167.02
1051,-166.37
1052,-165.49
1053,-166.01
1054,-165.85
1055,-165.33
1056,-164.73
1057,-163.94
1058,-163.79
1059,-164.04
1060,-163.36
1061,-163.02
1062,-163.05
1063,-160.21
1064,-158.2
1065,-157.82
1066,-157.57
1067,-153.6
1068,-153.82
1069,-153.44
1070,-153.55
1071,-151.96
1072,-152.22
1073,-152.37
1074,-152.08
1075,-151.71
1076,-151.5
1077,-151.02
1078,-150.83
1079,-151.74
1080,-150.89
1081,-150.37
1082,-149.9
1083,-149.6
1084,-149.9
1085,-150.09
1086,-150.52
1087,-150.39
1088,-150.01
1089,-149.7
1090,-149.96
1091,-149.52
1092,-149.94
1093,-149.75
1094,-149.86
1095,-150.45
1096,-150.73
1097,-151.64
1098,-151.47
1099,-152.38
1100,-152.47
1101,-153.48
1102,-153.72
1103,-153.69
1104,-153.05
1105,-153.19
1106,-153.06
1107,-152.61
1108,-152.81
1109,-152.73
1110,-151.74
1111,-151.39
1112,-150.72
1113,-150.35
1114,-149.55
1115,-149.64
1116,-150.07
1117,-149.98
1118,-149.8
1119,-149.95
1120,-149.67
1121,-149.6
1122,-149.5
1123,-150.66
1124,-150.3
1125,-150.35
1126,-150.07
1127,-149.7
