iteration,loss
10,None
19,2.822309325763071
28,2.738414367346755
37,6.484127849708847
47,7.790205789480122
56,7.3358739356542175
64,6.6157960012839565
78,2.398468261640942
87,6.2352626681646335
97,5.578168527583198
107,6.420757433555923
119,5.3999182490802635
131,5.1466261034489005
141,6.587598239149753
151,5.586724972054121
161,5.859488070844295
170,6.130101739569186
179,6.134270395184747
187,4.754509911128173
198,6.527686527350413
207,4.8278503060787745
215,5.726388794088821
226,7.272669943299936
237,5.474086232671176
245,3.7924114467896466
255,6.096030804159712
266,5.169071932136166
275,6.15641603634688
285,6.361314908305259
294,6.790432774173368
304,4.6511411832192255
314,9.7689582171386
322,6.217341467085672
334,7.351646383634325
344,4.988611390419664
357,4.268770463871932
366,4.196115456576083
378,5.500567801934659
388,12.4118088616949
398,6.999492095169254
406,10.74310223786998
415,6.120874617851702
425,10.777979955730004
434,7.69294557116815
444,3.7742674940059544
453,9.569701136909122
465,10.313153257921309
475,8.201126393453887
486,3.9738047266586882
495,8.05803291868057
505,12.086215125028994
515,10.970489714429533
526,2.982087397104737
536,6.843098714651238
544,6.300495788731519
553,7.878887049006181
567,12.664560617528831
576,5.777820719967041
584,6.5038834877636305
593,6.453414648973987
603,3.3326525236226052
614,8.381147115958175
624,10.87682303769856
633,17.836310292796604
643,3.1337419869217595
653,6.538891558579062
665,7.755659752267727
675,7.7909115543788
685,2.699653331395369
694,5.079889779097039
704,7.1236879398385735
717,2.618231529480085
725,9.785746510411023
733,3.1974214688486606
743,11.091450692837853
752,6.355342293518276
762,5.532648309213081
771,15.187341312634427
783,4.519118921957281
791,9.169674120029134
803,7.913045513445293
813,11.832026577824745
823,10.547141705296761
835,11.95879009467006
844,1.9193077123969204
853,6.110521985515904
864,4.019456767630722
873,4.463896710159555
883,0.9321082003113004
891,1.3005393346028113
901,4.350696188413684
911,7.975041902062708
924,6.829206136881012
934,10.685619509080459
946,1.1675723677617391
955,1.5110979474513109
964,4.652778300575573
975,3.216821248009116
984,13.063823741996657
994,8.26633128636064
1006,1.3226567880750537
